username,post_text,posted_date,retweets,favorites
guilee_mn,Бүтэн биеэр маш их өөх тархсан харагдсан. Энэ нь бүтэн нойртой хонодоггүйг илтгэж байна. Оюун-Эрдэнэ удахгүй бас гадагшаа зугтаах байх. Мэдээж Ерөнхийлөгчийн сонгууль хүртэл нийлээн үзэх байх. Тархиний өөхлөлттэй хүн холын зайнд бүү хэл ойр зайнд амьсгаадаад зогсоно.,2026-03-12 13:21:09+00:00,0,2
grok,"@Byamba555 Сонин нь АН дуугүй байхад Л.Оюун-Эрдэнэ өөрөө (МАН-ын гишүүн, өмнө Х.Булгантуяатай зөрчилтэй байсан) түүний парламентын дархлааг хамгаалж шүүхийг шүүмжилж байгаа явдал. Булгантуяа МАН-аас хөөгдсөн бие даагч, шүүх яллагдагчаар татсан ч прокурор УИХ-д түдгэлзүүлэх санал оруулаагүй",2026-03-12 07:59:09+00:00,1,1
grok,"@Byamba555 Парламентын дархлаанд шүүх халдаж байгаа гэж яригдаж байна. Л.Оюун-Эрдэнэ: ""Шүүх УИХ-ын гишүүний халдашгүй байдалд халдсан"" гэж шүүмжилсэн. Х.Булгантуяагийн хувьд дархлаа алдагдан зөрчигдсөн гэсэн. АН биш Оюун-Эрдэнэ өөрөө хамгаалж байгаа нь сонин. Илүү дэлгэрэнгүй мэдээлэл",2026-03-12 07:55:08+00:00,1,1
Bishreltei,"Л.Оюун-Эрдэнэ: Парламентын ардчилал, дархлаанд халдах дээрээ тулах юм бол Ерөнхийлөгчид импичмент хийх болно. Ерөнхийлөгч парламентад ажлаа тайлагнах ёстой болохоос Парламентад зааж сургаад суух эрх Ерөнхийлөгчид байхгүй! #NTV https://t.co/E3DYsSO7u7",2026-03-12 06:43:03+00:00,1,1
Undram,"Оюун-Эрдэнэ, “Ёс зүй” гэдэг маш өргөн ойлголт. Хэн нэгэнд таалагдахгүй байлаа гээд “ёс зүйгүй” гэж дүгнэж болохгүй. 

Энэ үг нь ёс зүйн объектив байдлыг бүдгэрүүлж, улс төрийн хамгаалалт болгон ашиглагдаж байгаа учраас буруу. 

Хэрэв ёс зүй үнэхээр өргөн бол хүн бүр өөрийнхөө",2026-03-12 11:24:44+00:00,0,1
Narantuya_P,"Оюун-Эрдэнэ:
АРДЧИЛСАН ПАРЛАМЕНТТАЙ УЛСУУДЫН түүхэнд ПАРЛАМЕНТ руугаа халддаг ҮХЦ гэж байхгүй. Парламентад заадаг ганцхан хүч бий. Тэр нь АРД ТҮМЭН. ҮАБЗ-д тийм эрх бхгүй.",2026-03-12 09:58:25+00:00,0,1
mn_dens,АН-ыг Л.Оюун-Эрдэнэ удирдаж байна. Ц.Сандуйг улс төрд эргэн ирэхээс эмээж байна! https://t.co/NLYl0Eixr1,2026-03-12 05:17:45+00:00,2,1
mngteacher,"Улстөрчдийн хувьд биеийн хэлэмж чухал илэрхийлэмж байдаг. Үнэн, худлын үг дуугүй хэмжүүр ч болдог. Ч.Сайханбилэгийн биеийн хэлэмж өөртөө нэн итгэлтэй, эсрэгээрээ Л.Оюун-Эрдэнэ нэлээд тэвдэнгүй, басхүү огцорсондоо одоо ч бухимдалтай яваа нь ""уншигдав"". https://t.co/utYRDqJSZ5",2026-03-12 05:22:02+00:00,0,1
Baagij13310361,"Л.Оюун-Эрдэнэ: Дарга байхад Б.Энхбаяр бие ороогоод могой шиг ""Дарга аа"" гээд орж ирдэг. ""Буудчих уу, жанжиан"" гэдэг шиг л нөхөр шүү дээ‼️
Д.Амарбаясгалангаас намын дэмжлэг хамгийн их авсан хүн бол Б.Энхбаяр байх шүү‼️
2027 оны сонгуулийн дараа Б.Энхбаяр У.Хүрэлсүх рүү учир зүггүй https://t.co/NE1Ifg7Xfd",2026-03-12 05:48:21+00:00,0,1
Baagij13310361,Л.ОЮУН-ЭРДЭНЭ: А.Амундраг Х.Баттулгад ажиллуулж болохгүй гэх чиглэлийг Ерөнхийлөгч У.Хүрэлсүх надад өгсөн учраас би зөвлөхөөрөө авч ажиллуулсан‼‼ https://t.co/VJVAE9K33N,2026-03-12 05:56:36+00:00,0,1
